d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0001.wav|Nomoshkar, apni kemon achhen?|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0002.wav|Amar nam Akash, apnar nam ki?|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0003.wav|Ajker abohawa khub shundor.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0004.wav|Ami bhat khete bhalobashi.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0005.wav|Apni ki kalke bajare jaben?|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0006.wav|Boi pora amar priyo shokh.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0007.wav|Ei kajti kora khub kothin.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0008.wav|Shurjo purbo dike othe ebong poshchim dike osto jay.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0009.wav|Ami gotokal ekti shundor cinema dekhechhi.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0010.wav|Dhaka Bangladesh-er rajdhani.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0011.wav|Apnar shathe kotha bole khub bhalo laglo.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0012.wav|Ma amake khub bhalobashen.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0013.wav|Skoole onek bondhu achhe.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0014.wav|Brishtir dine khichuri khete besh lage.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0015.wav|Amader jatiyo phool shapla.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0016.wav|Chayer kape jhor tola bangalir shobhab.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0017.wav|Rastay jam thakle khub birokto lage.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0018.wav|Mather shobuj ghash chokher shanti.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0019.wav|Pakhira gan gaichhe nodir pare.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0020.wav|Biddut chole gele onek gorom lage.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0021.wav|Porishrom shoubhaagger proshuti.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0022.wav|Shototai shorbottam pontha.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0023.wav|Shobure mewa phole.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0024.wav|Bipode more rokkha koro e nohe mor prarthona.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0025.wav|Manush manusher jonno.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0026.wav|Gnaner alo ghore ghore jalo.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0027.wav|Majer hashi shorgger shukh.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0028.wav|Shikkha jatir merudondo.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0029.wav|Bina meghe bojropat.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0030.wav|Koshto na korle keshto mele na.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0031.wav|Apnar priyo khabar konti?|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0032.wav|Apni ki kokhono paharer churay uthechhen?|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0033.wav|Computer chalano ekhon khub shohoj hoye gechhe.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0034.wav|Internet-er madhyome prithibi ekhon hater muthoy.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0035.wav|Gachh lagano poribesher jonno khub joruri.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0036.wav|Porishkar porichhonno thaka shasther jonno bhalo.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0037.wav|Desher jonno pran dewa birer kaj.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0038.wav|Shitkale pitha khawar utsob dhumdham hoy.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0039.wav|Nodir srot karo jonno opekkha kore na.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0040.wav|Shomoyer kaj shomoye kora uchit.|user
d:\GitHub\Kokoro_tts_module\data\bengali\xtts\wavs\0041.wav|Apni ki football khelte pochhondo koren?|user
