dataset/0001/audio.wav|নমস্কার, আপনি কেমন আছেন?
dataset/0002/audio.wav|আমার নাম আকাশ, আপনার নাম কি?
dataset/0003/audio.wav|আজকের আবহাওয়া খুব সুন্দর।
dataset/0004/audio.wav|আমি ভাত খেতে ভালোবাসি।
dataset/0005/audio.wav|আপনি কি কালকে বাজারে যাবেন?
dataset/0006/audio.wav|বই পড়া আমার প্রিয় শখ।
dataset/0007/audio.wav|এই কাজটি করা খুব কঠিন।
dataset/0008/audio.wav|সূর্য পূর্ব দিকে ওঠে এবং পশ্চিম দিকে অস্ত যায়।
dataset/0009/audio.wav|আমি গতকাল একটি সুন্দর সিনেমা দেখেছি।
dataset/0010/audio.wav|ঢাকা বাংলাদেশের রাজধানী।
dataset/0011/audio.wav|আপনার সাথে কথা বলে খুব ভালো লাগলো।
dataset/0012/audio.wav|মা আমাকে খুব ভালোবাসেন।
dataset/0013/audio.wav|স্কুলে অনেক বন্ধু আছে।
dataset/0014/audio.wav|বৃষ্টির দিনে খিচুড়ি খেতে বেশ লাগে।
dataset/0015/audio.wav|আমাদের জাতীয় ফুল শাপলা।
dataset/0016/audio.wav|চায়ের কাপে ঝড় তোলা বাঙালির স্বভাব।
dataset/0017/audio.wav|রাস্তায় জ্যাম থাকলে খুব বিরক্ত লাগে।
dataset/0018/audio.wav|মাঠের সবুজ ঘাস চোখের শান্তি।
dataset/0019/audio.wav|পাখিরা গান গাইছে নদীর পাড়ে।
dataset/0020/audio.wav|বিদ্যুৎ চলে গেলে অনেক গরম লাগে।
dataset/0021/audio.wav|পরিশ্রম সৌভাগ্যের প্রসূতি।
dataset/0022/audio.wav|সততাই সর্বোত্তম পন্থা।
dataset/0023/audio.wav|সবুরে মেওয়া ফলে।
dataset/0024/audio.wav|বিপদে মোরে রক্ষা করো এ নহে মোর প্রার্থনা।
dataset/0025/audio.wav|মানুষ মানুষের জন্য।
dataset/0026/audio.wav|জ্ঞানের আলো ঘরে ঘরে জ্বালো।
dataset/0027/audio.wav|মায়ের হাসি স্বর্গের সুখ।
dataset/0028/audio.wav|শিক্ষা জাতির মেরুদণ্ড।
dataset/0029/audio.wav|বিনা মেঘে বজ্রপাত।
dataset/0030/audio.wav|কষ্ট না করলে কেষ্ট মেলে না।
dataset/0031/audio.wav|আপনার প্রিয় খাবার কোনটি?
dataset/0032/audio.wav|আপনি কি কখনো পাহাড়ের চূড়ায় উঠেছেন?
dataset/0033/audio.wav|কম্পিউটার চালানো এখন খুব সহজ হয়ে গেছে।
dataset/0034/audio.wav|ইন্টারনেটের মাধ্যমে পৃথিবী এখন হাতের মুঠোয়।
