dataset/0001/audio.wav|Nomoshkar, apni kemon achhen?
dataset/0002/audio.wav|Amar nam Akash, apnar nam ki?
dataset/0003/audio.wav|Ajker abohawa khub shundor.
dataset/0004/audio.wav|Ami bhat khete bhalobashi.
dataset/0005/audio.wav|Apni ki kalke bajare jaben?
dataset/0006/audio.wav|Boi pora amar priyo shokh.
dataset/0007/audio.wav|Ei kajti kora khub kothin.
dataset/0008/audio.wav|Shurjo purbo dike othe ebong poshchim dike osto jay.
dataset/0009/audio.wav|Ami gotokal ekti shundor cinema dekhechhi.
dataset/0010/audio.wav|Dhaka Bangladesh-er rajdhani.
dataset/0011/audio.wav|Apnar shathe kotha bole khub bhalo laglo.
dataset/0012/audio.wav|Ma amake khub bhalobashen.
dataset/0013/audio.wav|Skoole onek bondhu achhe.
dataset/0014/audio.wav|Brishtir dine khichuri khete besh lage.
dataset/0015/audio.wav|Amader jatiyo phool shapla.
dataset/0016/audio.wav|Chayer kape jhor tola bangalir shobhab.
dataset/0017/audio.wav|Rastay jam thakle khub birokto lage.
dataset/0018/audio.wav|Mather shobuj ghash chokher shanti.
dataset/0019/audio.wav|Pakhira gan gaichhe nodir pare.
dataset/0020/audio.wav|Biddut chole gele onek gorom lage.
dataset/0021/audio.wav|Porishrom shoubhaagger proshuti.
dataset/0022/audio.wav|Shototai shorbottam pontha.
dataset/0023/audio.wav|Shobure mewa phole.
dataset/0024/audio.wav|Bipode more rokkha koro e nohe mor prarthona.
dataset/0025/audio.wav|Manush manusher jonno.
dataset/0026/audio.wav|Gnaner alo ghore ghore jalo.
dataset/0027/audio.wav|Majer hashi shorgger shukh.
dataset/0028/audio.wav|Shikkha jatir merudondo.
dataset/0029/audio.wav|Bina meghe bojropat.
dataset/0030/audio.wav|Koshto na korle keshto mele na.
dataset/0031/audio.wav|Apnar priyo khabar konti?
dataset/0032/audio.wav|Apni ki kokhono paharer churay uthechhen?
dataset/0033/audio.wav|Computer chalano ekhon khub shohoj hoye gechhe.
dataset/0034/audio.wav|Internet-er madhyome prithibi ekhon hater muthoy.
dataset/0035/audio.wav|Gachh lagano poribesher jonno khub joruri.
dataset/0036/audio.wav|Porishkar porichhonno thaka shasther jonno bhalo.
dataset/0037/audio.wav|Desher jonno pran dewa birer kaj.
dataset/0038/audio.wav|Shitkale pitha khawar utsob dhumdham hoy.
dataset/0039/audio.wav|Nodir srot karo jonno opekkha kore na.
dataset/0040/audio.wav|Shomoyer kaj shomoye kora uchit.
dataset/0041/audio.wav|Apni ki football khelte pochhondo koren?
dataset/0042/audio.wav|Cricket khela ekhon Bangladesh-e onek jonopriyo.
dataset/0043/audio.wav|Padma shetu amader gorbo.
dataset/0044/audio.wav|Shundorbon-er horin ar bagh dekhte onek porjotok ashe.
dataset/0045/audio.wav|Cox's Bazar-er shomudro shoikot prithibir dirghotomo.
dataset/0046/audio.wav|Shokale ghum theke otha shasther jonno upokari.
dataset/0047/audio.wav|Mithya kotha bola mohapap.
dataset/0048/audio.wav|Boroder shomman kora ebong chhotoder bhalobasha uchit.
dataset/0049/audio.wav|Amader jatiyo kobi Kazi Nazrul Islam.
dataset/0050/audio.wav|Rabindronath Thakur bishshokobi hishebe porichito.
dataset/0051/audio.wav|Shubho jonmodin! Apnar dinti bhalo katuk.
dataset/0052/audio.wav|Assalamualaikum, kemon achhen?
dataset/0053/audio.wav|Bidaybelay monta khub kharap hoye jay.
dataset/0054/audio.wav|Ektu shahajjo korte parben ki?
dataset/0055/audio.wav|Duhkhito, ami apnar kotha bujhite parini.
dataset/0056/audio.wav|Oronye rodon kore kono labh nei.
dataset/0057/audio.wav|Akashe aj onek tara dekha jachhe.
dataset/0058/audio.wav|Shomudrer nil jolorashi dekhle mon shanto hoy.
dataset/0059/audio.wav|Paharer buk chire jhorna boye cholechhe.
dataset/0060/audio.wav|Boshontokale kokiler gan shunte ki modhur lage!
dataset/0061/audio.wav|Shobuj bonani amader omullo shompod.
dataset/0062/audio.wav|Jibjontur proti amader doyalu howa uchit.
dataset/0063/audio.wav|Shohorer jibon onek besto ar kolaholpurno.
dataset/0064/audio.wav|Gramer shanto poribesh monke anondo dæy.
dataset/0065/audio.wav|Matir chulay ranna kora khabarer shad-i alada.
dataset/0066/audio.wav|Borshar brishtite bhije kanchli khawar din-gulo mone pore.
dataset/0067/audio.wav|Rater bela bagane hasnahenar gondho mo mo kore.
dataset/0068/audio.wav|Pujor chhuti-te bari jayar anondo-i alada.
dataset/0069/audio.wav|Pohela Boishakh-e noboborshor utsob ron'gin hoye othe.
dataset/0070/audio.wav|Bangalir baro mashe tero parbon.
dataset/0071/audio.wav|Apni ki amar shathe ekmot?
dataset/0072/audio.wav|Ei khoborti shune ami khub obak holam.
dataset/0073/audio.wav|Chup kore boshe na thake kaj shuru koro.
dataset/0074/audio.wav|Dhoirjo dhorun, bhalo phol oboshshoy paben.
dataset/0075/audio.wav|She ki gotokal ekhane eshechhilo?
dataset/0076/audio.wav|Na, she kalke asheni.
dataset/0077/audio.wav|Agamikal ekti joruri meeting achhe.
dataset/0078/audio.wav|Amar laptop-ti hothat kaj kora bondho kore diyechhe.
dataset/0079/audio.wav|Phone-ti charge-e dewa dorkar.
dataset/0080/audio.wav|Ektu jol pawa jabe ki? Ami khub trishnarto.
dataset/0081/audio.wav|Ajker khabarta khub jhal hoyeachhe.
dataset/0082/audio.wav|Mishti doi khete amar khub bhalo lage.
dataset/0083/audio.wav|Bajare ilish machher dam onek bere gechhe.
dataset/0084/audio.wav|Pholer raja am, ja shobar priyo.
dataset/0085/audio.wav|Rater bela pora-shona korte amar shubidha hoy.
dataset/0086/audio.wav|Bhore hantle mon ebong shorir dui-i bhalo thake.
dataset/0087/audio.wav|Library-te shantite boi pora jay.
dataset/0088/audio.wav|Tiffine bondhuder shathe adda dewa khub mojar.
dataset/0089/audio.wav|Shiter shokale rode boshe thakar aram-i alada.
dataset/0090/audio.wav|Poronto bikele akasher ron'g lal hoye jay.
dataset/0091/audio.wav|Jhoro haoway gachher pata norchhe.
dataset/0092/audio.wav|Ondhokar rate chander alo poth dekhay.
dataset/0093/audio.wav|Manusher bipode egiye asha amader dayitto.
dataset/0094/audio.wav|Ektai bol, e-i amader mulmontro.
dataset/0095/audio.wav|Shwabolombi howa jiboner boro shaphollo.
dataset/0096/audio.wav|Mon diye kaj korle joy nishchito.
dataset/0097/audio.wav|Kokhono hal chhere diyo na.
dataset/0098/audio.wav|Bhobishshoter kotha bhabe kaj kora budhimaner lokkhon.
dataset/0099/audio.wav|Ma-babar doa jiboner boro shompod.
dataset/0100/audio.wav|Shanti ar bhalobasha diye prithibi joy kora shombhob.
